BMI,Breakfast 1,Breakfast 2,Lunch 1,Lunch 2,Dinner 1,Dinner 2,Food Type,BMR,Total Calories
24.7,Scrambled Eggs,Yogurt,Pasta Salad,Quinoa Salad,Veggie Burger,Lentil Soup,Non-Veg,1931,2250
30.1,Cereal,Pancakes,Vegetable Stir Fry,Sushi,Stuffed Peppers,Chicken Curry,Non-Veg,1824,1900
22.4,Fruit Salad,Egg Sandwich,Chicken Wrap,Burrito Bowl,Stuffed Peppers,Tacos,Non-Veg,1341,2150
25.2,Cereal,Yogurt,Pasta Salad,Turkey Sandwich,Chicken Stir Fry,Grilled Steak,Non-Veg,1328,1750
28.3,Fruit Salad,Smoothie,Grilled Chicken Salad,Chicken Wrap,Chicken Curry,Spaghetti,Non-Veg,2111,2350
19.3,Cereal,Smoothie,Burrito Bowl,Vegetable Stir Fry,Veggie Pizza,Veggie Burger,Non-Veg,1333,2000
29.7,Egg Sandwich,Avocado Toast,Sushi,Grilled Chicken Salad,Tacos,Veggie Pizza,Non-Veg,1631,1800
23.5,Pancakes,Smoothie,Vegetable Stir Fry,Quinoa Salad,Grilled Steak,Grilled Salmon,Non-Veg,1248,2000
17.7,Cereal,Granola,Grilled Chicken Salad,Pasta Salad,Veggie Burger,Tacos,Non-Veg,1252,2650
23.3,Granola,Fruit Salad,Veggie Wrap,Chicken Wrap,Veggie Burger,Spaghetti,Non-Veg,1501,2150
17.2,Oatmeal,Egg Sandwich,Soup,Grilled Chicken Salad,Stuffed Peppers,Chicken Curry,Non-Veg,1502,2400
22.3,Cereal,Granola,Soup,Turkey Sandwich,Grilled Steak,Veggie Burger,Non-Veg,1729,2100
29.0,Pancakes,Smoothie,Sushi,Burrito Bowl,Chicken Stir Fry,Tacos,Non-Veg,1785,1800
20.5,Egg Sandwich,Smoothie,Quinoa Salad,Grilled Chicken Salad,Chicken Curry,Stuffed Peppers,Non-Veg,1909,2050
15.1,Pancakes,Fruit Salad,Vegetable Stir Fry,Soup,Veggie Burger,Chicken Stir Fry,Non-Veg,1328,2150
34.1,Smoothie,Egg Sandwich,Chicken Wrap,Soup,Veggie Burger,Chicken Stir Fry,Non-Veg,1763,1950
26.8,Egg Sandwich,Scrambled Eggs,Vegetable Stir Fry,Burrito Bowl,Chicken Stir Fry,Tacos,Non-Veg,1462,1850
33.9,Scrambled Eggs,Fruit Salad,Quinoa Salad,Pasta Salad,Chicken Stir Fry,Stuffed Peppers,Non-Veg,1465,1800
15.3,Pancakes,Smoothie,Quinoa Salad,Sushi,Grilled Salmon,Spaghetti,Non-Veg,1747,2500
28.8,Pancakes,Scrambled Eggs,Vegetable Stir Fry,Grilled Chicken Salad,Tacos,Veggie Pizza,Non-Veg,1389,1700
16.5,Pancakes,Scrambled Eggs,Pasta Salad,Burrito Bowl,Chicken Stir Fry,Grilled Salmon,Non-Veg,1411,2600
18.4,Avocado Toast,Cereal,Veggie Wrap,Pasta Salad,Chicken Curry,Veggie Burger,Non-Veg,1434,2600
31.8,Egg Sandwich,Yogurt,Vegetable Stir Fry,Veggie Wrap,Veggie Burger,Grilled Steak,Non-Veg,1611,2000
16.7,Pancakes,Fruit Salad,Turkey Sandwich,Pasta Salad,Chicken Curry,Veggie Burger,Non-Veg,1471,2550
28.5,Oatmeal,Yogurt,Chicken Wrap,Pasta Salad,Veggie Pizza,Lentil Soup,Non-Veg,1278,1600
31.2,Egg Sandwich,Smoothie,Soup,Turkey Sandwich,Grilled Salmon,Veggie Burger,Non-Veg,1454,1550
22.1,Cereal,Avocado Toast,Sushi,Turkey Sandwich,Spaghetti,Chicken Curry,Non-Veg,1330,2150
22.0,Fruit Salad,Smoothie,Quinoa Salad,Chicken Wrap,Grilled Salmon,Stuffed Peppers,Non-Veg,1878,2350
16.4,Oatmeal,Egg Sandwich,Turkey Sandwich,Veggie Wrap,Grilled Steak,Lentil Soup,Non-Veg,1688,2500
26.8,Cereal,Egg Sandwich,Quinoa Salad,Burrito Bowl,Tacos,Grilled Salmon,Non-Veg,1612,1950
20.7,Pancakes,Yogurt,Burrito Bowl,Vegetable Stir Fry,Veggie Burger,Tacos,Non-Veg,1445,2050
23.2,Pancakes,Scrambled Eggs,Soup,Chicken Wrap,Lentil Soup,Chicken Stir Fry,Non-Veg,1992,2250
15.5,Pancakes,Smoothie,Turkey Sandwich,Burrito Bowl,Spaghetti,Chicken Curry,Non-Veg,1680,2850
22.1,Egg Sandwich,Cereal,Grilled Chicken Salad,Veggie Wrap,Spaghetti,Chicken Curry,Non-Veg,1670,2200
17.7,Scrambled Eggs,Yogurt,Veggie Wrap,Grilled Chicken Salad,Veggie Burger,Chicken Curry,Non-Veg,1177,2450
24.5,Pancakes,Smoothie,Soup,Vegetable Stir Fry,Chicken Curry,Veggie Pizza,Non-Veg,1242,1900
25.9,Oatmeal,Scrambled Eggs,Burrito Bowl,Sushi,Stuffed Peppers,Spaghetti,Non-Veg,1942,1950
16.6,Smoothie,Yogurt,Soup,Turkey Sandwich,Chicken Stir Fry,Veggie Pizza,Non-Veg,1824,2250
17.0,Yogurt,Scrambled Eggs,Sushi,Turkey Sandwich,Lentil Soup,Chicken Curry,Non-Veg,1338,2350
19.3,Smoothie,Avocado Toast,Quinoa Salad,Chicken Wrap,Veggie Burger,Lentil Soup,Non-Veg,2069,2200
33.7,Cereal,Egg Sandwich,Vegetable Stir Fry,Soup,Grilled Steak,Chicken Curry,Non-Veg,1555,1950
19.5,Scrambled Eggs,Avocado Toast,Burrito Bowl,Quinoa Salad,Tacos,Lentil Soup,Non-Veg,1490,2050
18.9,Scrambled Eggs,Avocado Toast,Sushi,Vegetable Stir Fry,Grilled Steak,Veggie Pizza,Non-Veg,1445,1950
30.4,Yogurt,Granola,Turkey Sandwich,Vegetable Stir Fry,Grilled Steak,Grilled Salmon,Non-Veg,1544,1600
25.2,Avocado Toast,Granola,Pasta Salad,Veggie Wrap,Grilled Salmon,Veggie Burger,Non-Veg,1686,1900
23.5,Yogurt,Egg Sandwich,Grilled Chicken Salad,Soup,Spaghetti,Tacos,Non-Veg,1525,2000
23.3,Avocado Toast,Smoothie,Vegetable Stir Fry,Soup,Grilled Salmon,Grilled Steak,Non-Veg,1593,1900
24.6,Pancakes,Smoothie,Vegetable Stir Fry,Quinoa Salad,Grilled Steak,Grilled Salmon,Non-Veg,1575,2000
24.0,Egg Sandwich,Granola,Quinoa Salad,Sushi,Spaghetti,Stuffed Peppers,Non-Veg,1880,2150
23.0,Yogurt,Smoothie,Turkey Sandwich,Chicken Wrap,Lentil Soup,Spaghetti,Non-Veg,1798,2000
22.5,Pancakes,Yogurt,Turkey Sandwich,Sushi,Stuffed Peppers,Chicken Curry,Non-Veg,1192,1950
17.8,Yogurt,Egg Sandwich,Quinoa Salad,Sushi,Chicken Curry,Tacos,Non-Veg,2125,2550
17.6,Cereal,Avocado Toast,Soup,Sushi,Veggie Pizza,Chicken Curry,Non-Veg,1888,2400
34.5,Yogurt,Fruit Salad,Veggie Wrap,Grilled Chicken Salad,Grilled Steak,Spaghetti,Non-Veg,1352,1450
15.7,Yogurt,Oatmeal,Veggie Wrap,Grilled Chicken Salad,Grilled Salmon,Lentil Soup,Non-Veg,1671,2200
19.3,Cereal,Scrambled Eggs,Sushi,Grilled Chicken Salad,Veggie Pizza,Chicken Stir Fry,Non-Veg,1466,1800
24.9,Scrambled Eggs,Pancakes,Veggie Wrap,Sushi,Spaghetti,Grilled Salmon,Non-Veg,1816,2000
15.4,Fruit Salad,Yogurt,Quinoa Salad,Grilled Chicken Salad,Chicken Stir Fry,Spaghetti,Non-Veg,1236,2300
23.5,Oatmeal,Granola,Burrito Bowl,Vegetable Stir Fry,Veggie Pizza,Spaghetti,Non-Veg,1515,2200
30.6,Smoothie,Granola,Turkey Sandwich,Grilled Chicken Salad,Veggie Burger,Stuffed Peppers,Non-Veg,1511,1550
27.5,Granola,Oatmeal,Sushi,Turkey Sandwich,Spaghetti,Chicken Stir Fry,Non-Veg,1496,1800
17.3,Yogurt,Smoothie,Turkey Sandwich,Grilled Chicken Salad,Stuffed Peppers,Lentil Soup,Non-Veg,1346,2250
19.9,Yogurt,Oatmeal,Quinoa Salad,Chicken Wrap,Grilled Steak,Tacos,Non-Veg,1473,2050
26.8,Avocado Toast,Fruit Salad,Sushi,Quinoa Salad,Grilled Salmon,Veggie Pizza,Non-Veg,1364,1550
19.5,Yogurt,Fruit Salad,Chicken Wrap,Grilled Chicken Salad,Grilled Salmon,Spaghetti,Non-Veg,1259,1950
25.5,Scrambled Eggs,Avocado Toast,Burrito Bowl,Turkey Sandwich,Lentil Soup,Grilled Steak,Non-Veg,1498,1900
15.9,Scrambled Eggs,Granola,Chicken Wrap,Quinoa Salad,Spaghetti,Chicken Stir Fry,Non-Veg,2150,2700
15.3,Cereal,Scrambled Eggs,Chicken Wrap,Veggie Wrap,Grilled Steak,Veggie Burger,Non-Veg,2102,2600
20.1,Oatmeal,Fruit Salad,Burrito Bowl,Sushi,Tacos,Grilled Steak,Non-Veg,1565,2000
29.4,Scrambled Eggs,Oatmeal,Vegetable Stir Fry,Veggie Wrap,Grilled Salmon,Spaghetti,Non-Veg,2020,2450
23.2,Pancakes,Fruit Salad,Chicken Wrap,Vegetable Stir Fry,Lentil Soup,Veggie Burger,Non-Veg,1470,1800
21.8,Oatmeal,Granola,Soup,Sushi,Stuffed Peppers,Veggie Burger,Non-Veg,1327,1800
21.9,Scrambled Eggs,Egg Sandwich,Veggie Wrap,Soup,Chicken Curry,Lentil Soup,Non-Veg,1645,1900
32.0,Avocado Toast,Oatmeal,Vegetable Stir Fry,Grilled Chicken Salad,Stuffed Peppers,Chicken Stir Fry,Non-Veg,1250,1250
30.4,Scrambled Eggs,Oatmeal,Veggie Wrap,Vegetable Stir Fry,Veggie Pizza,Grilled Salmon,Non-Veg,1597,1700
20.3,Smoothie,Granola,Pasta Salad,Burrito Bowl,Grilled Steak,Veggie Burger,Non-Veg,1620,2350
27.7,Scrambled Eggs,Granola,Chicken Wrap,Pasta Salad,Stuffed Peppers,Veggie Burger,Non-Veg,1693,1900
17.1,Egg Sandwich,Yogurt,Sushi,Turkey Sandwich,Spaghetti,Chicken Stir Fry,Non-Veg,1960,2500
23.7,Scrambled Eggs,Oatmeal,Vegetable Stir Fry,Quinoa Salad,Chicken Curry,Veggie Burger,Non-Veg,1667,1900
27.7,Avocado Toast,Cereal,Burrito Bowl,Quinoa Salad,Veggie Burger,Veggie Pizza,Non-Veg,2123,2300
26.1,Scrambled Eggs,Smoothie,Turkey Sandwich,Soup,Lentil Soup,Stuffed Peppers,Non-Veg,1903,2250
19.3,Egg Sandwich,Granola,Grilled Chicken Salad,Burrito Bowl,Veggie Pizza,Chicken Curry,Non-Veg,1319,2400
22.5,Granola,Yogurt,Sushi,Quinoa Salad,Stuffed Peppers,Lentil Soup,Veg,1639,1800
31.9,Granola,Cereal,Turkey Sandwich,Grilled Chicken Salad,Chicken Stir Fry,Spaghetti,Non-Veg,1932,2000
15.5,Smoothie,Fruit Salad,Vegetable Stir Fry,Soup,Veggie Burger,Veggie Pizza,Non-Veg,1840,2150
29.7,Pancakes,Scrambled Eggs,Turkey Sandwich,Burrito Bowl,Grilled Salmon,Spaghetti,Non-Veg,1424,2000
18.4,Egg Sandwich,Scrambled Eggs,Veggie Wrap,Vegetable Stir Fry,Grilled Salmon,Veggie Pizza,Non-Veg,1779,2450
33.6,Granola,Yogurt,Pasta Salad,Sushi,Grilled Salmon,Veggie Burger,Non-Veg,1919,2100
20.3,Yogurt,Fruit Salad,Veggie Wrap,Sushi,Grilled Steak,Veggie Burger,Non-Veg,1375,1800
21.5,Oatmeal,Cereal,Quinoa Salad,Veggie Wrap,Chicken Stir Fry,Stuffed Peppers,Non-Veg,1434,1750
15.7,Smoothie,Granola,Burrito Bowl,Vegetable Stir Fry,Grilled Salmon,Chicken Stir Fry,Non-Veg,1279,2600
33.3,Yogurt,Scrambled Eggs,Turkey Sandwich,Chicken Wrap,Veggie Burger,Chicken Stir Fry,Non-Veg,1649,1850
26.4,Egg Sandwich,Fruit Salad,Veggie Wrap,Burrito Bowl,Stuffed Peppers,Grilled Salmon,Non-Veg,1767,2050
27.1,Granola,Yogurt,Grilled Chicken Salad,Veggie Wrap,Tacos,Stuffed Peppers,Non-Veg,1367,1750
30.6,Granola,Egg Sandwich,Sushi,Turkey Sandwich,Veggie Burger,Tacos,Non-Veg,2077,2200
17.0,Avocado Toast,Yogurt,Turkey Sandwich,Chicken Wrap,Lentil Soup,Chicken Stir Fry,Non-Veg,1303,2400
18.9,Fruit Salad,Yogurt,Pasta Salad,Chicken Wrap,Spaghetti,Grilled Steak,Non-Veg,1769,2100
30.4,Pancakes,Granola,Turkey Sandwich,Grilled Chicken Salad,Spaghetti,Lentil Soup,Non-Veg,1972,2050
22.3,Smoothie,Scrambled Eggs,Turkey Sandwich,Quinoa Salad,Grilled Steak,Veggie Burger,Non-Veg,1378,2050
24.4,Avocado Toast,Fruit Salad,Sushi,Burrito Bowl,Chicken Curry,Stuffed Peppers,Non-Veg,1263,2000
16.5,Fruit Salad,Avocado Toast,Veggie Wrap,Soup,Chicken Stir Fry,Spaghetti,Non-Veg,1467,2300
17.1,Pancakes,Cereal,Burrito Bowl,Quinoa Salad,Lentil Soup,Spaghetti,Non-Veg,1530,2600
21.2,Smoothie,Oatmeal,Burrito Bowl,Vegetable Stir Fry,Grilled Steak,Veggie Burger,Non-Veg,1528,2050
20.7,Pancakes,Scrambled Eggs,Sushi,Grilled Chicken Salad,Grilled Steak,Tacos,Non-Veg,1494,2050
18.6,Pancakes,Scrambled Eggs,Sushi,Quinoa Salad,Tacos,Chicken Stir Fry,Non-Veg,1888,1900
15.9,Avocado Toast,Yogurt,Pasta Salad,Quinoa Salad,Spaghetti,Grilled Salmon,Non-Veg,1498,2550
26.9,Cereal,Pancakes,Veggie Wrap,Pasta Salad,Grilled Steak,Stuffed Peppers,Non-Veg,1542,1800
21.3,Avocado Toast,Yogurt,Sushi,Chicken Wrap,Chicken Stir Fry,Grilled Steak,Non-Veg,1582,2000
16.6,Egg Sandwich,Cereal,Chicken Wrap,Grilled Chicken Salad,Lentil Soup,Grilled Steak,Non-Veg,1387,2600
17.9,Pancakes,Smoothie,Veggie Wrap,Sushi,Grilled Steak,Veggie Pizza,Non-Veg,1363,2500
33.9,Yogurt,Avocado Toast,Veggie Wrap,Chicken Wrap,Chicken Stir Fry,Spaghetti,Non-Veg,1452,1550
34.8,Egg Sandwich,Oatmeal,Turkey Sandwich,Burrito Bowl,Chicken Curry,Veggie Pizza,Non-Veg,1569,1750
33.1,Oatmeal,Granola,Grilled Chicken Salad,Burrito Bowl,Spaghetti,Chicken Curry,Non-Veg,1665,1850
26.8,Oatmeal,Smoothie,Grilled Chicken Salad,Soup,Spaghetti,Veggie Pizza,Non-Veg,1272,1600
26.3,Pancakes,Granola,Chicken Wrap,Turkey Sandwich,Stuffed Peppers,Grilled Salmon,Non-Veg,1671,1950
29.9,Cereal,Egg Sandwich,Grilled Chicken Salad,Sushi,Chicken Stir Fry,Grilled Steak,Non-Veg,1573,1750
15.4,Cereal,Smoothie,Burrito Bowl,Turkey Sandwich,Lentil Soup,Grilled Steak,Non-Veg,1433,2600
17.0,Fruit Salad,Oatmeal,Chicken Wrap,Veggie Wrap,Grilled Steak,Stuffed Peppers,Non-Veg,1554,2400
15.7,Avocado Toast,Scrambled Eggs,Chicken Wrap,Veggie Wrap,Chicken Curry,Grilled Steak,Non-Veg,1566,2750
28.7,Avocado Toast,Cereal,Burrito Bowl,Grilled Chicken Salad,Grilled Steak,Chicken Curry,Non-Veg,1633,2050
33.7,Egg Sandwich,Smoothie,Grilled Chicken Salad,Chicken Wrap,Spaghetti,Lentil Soup,Non-Veg,1564,1600
27.6,Avocado Toast,Smoothie,Quinoa Salad,Soup,Stuffed Peppers,Chicken Curry,Non-Veg,1460,1650
30.5,Yogurt,Pancakes,Vegetable Stir Fry,Chicken Wrap,Tacos,Lentil Soup,Non-Veg,1815,1950
25.8,Yogurt,Avocado Toast,Sushi,Soup,Tacos,Veggie Pizza,Non-Veg,1423,1550
16.7,Avocado Toast,Fruit Salad,Turkey Sandwich,Sushi,Veggie Burger,Spaghetti,Non-Veg,1775,2450
26.7,Smoothie,Pancakes,Grilled Chicken Salad,Soup,Stuffed Peppers,Veggie Burger,Non-Veg,1652,2050
33.7,Egg Sandwich,Cereal,Veggie Wrap,Pasta Salad,Tacos,Spaghetti,Non-Veg,1252,1700
17.1,Avocado Toast,Smoothie,Veggie Wrap,Burrito Bowl,Tacos,Stuffed Peppers,Veg,1938,2600
33.8,Oatmeal,Egg Sandwich,Turkey Sandwich,Sushi,Chicken Curry,Tacos,Non-Veg,1505,1600
34.1,Avocado Toast,Cereal,Pasta Salad,Chicken Wrap,Stuffed Peppers,Chicken Curry,Non-Veg,1367,1650
29.2,Granola,Scrambled Eggs,Turkey Sandwich,Quinoa Salad,Veggie Burger,Spaghetti,Non-Veg,2031,2200
33.1,Smoothie,Granola,Sushi,Burrito Bowl,Chicken Curry,Veggie Burger,Non-Veg,1580,1750
32.1,Yogurt,Egg Sandwich,Sushi,Soup,Spaghetti,Chicken Stir Fry,Non-Veg,1367,1850
15.2,Pancakes,Fruit Salad,Sushi,Quinoa Salad,Lentil Soup,Chicken Curry,Non-Veg,1426,2300
21.2,Fruit Salad,Smoothie,Quinoa Salad,Burrito Bowl,Spaghetti,Chicken Curry,Non-Veg,1562,2150
18.9,Oatmeal,Pancakes,Veggie Wrap,Vegetable Stir Fry,Veggie Pizza,Chicken Stir Fry,Non-Veg,1491,1800
17.4,Scrambled Eggs,Yogurt,Soup,Veggie Wrap,Veggie Pizza,Stuffed Peppers,Non-Veg,1521,2200
33.1,Smoothie,Cereal,Burrito Bowl,Pasta Salad,Stuffed Peppers,Veggie Burger,Non-Veg,1846,1900
22.7,Scrambled Eggs,Cereal,Quinoa Salad,Veggie Wrap,Grilled Steak,Grilled Salmon,Non-Veg,1883,2000
18.2,Avocado Toast,Yogurt,Soup,Grilled Chicken Salad,Chicken Stir Fry,Veggie Burger,Non-Veg,1904,2250
30.8,Granola,Fruit Salad,Burrito Bowl,Turkey Sandwich,Veggie Burger,Chicken Stir Fry,Non-Veg,1373,1600
30.3,Smoothie,Cereal,Quinoa Salad,Veggie Wrap,Tacos,Stuffed Peppers,Non-Veg,1248,1400
22.4,Oatmeal,Cereal,Soup,Burrito Bowl,Lentil Soup,Tacos,Veg,1646,1850
27.7,Yogurt,Granola,Pasta Salad,Grilled Chicken Salad,Grilled Salmon,Tacos,Non-Veg,1372,1850
25.8,Cereal,Egg Sandwich,Burrito Bowl,Pasta Salad,Veggie Pizza,Lentil Soup,Non-Veg,1247,1850
29.8,Egg Sandwich,Pancakes,Grilled Chicken Salad,Sushi,Chicken Curry,Spaghetti,Non-Veg,1294,1950
19.6,Cereal,Avocado Toast,Quinoa Salad,Grilled Chicken Salad,Veggie Burger,Lentil Soup,Non-Veg,1796,1850
23.3,Egg Sandwich,Fruit Salad,Quinoa Salad,Grilled Chicken Salad,Veggie Burger,Lentil Soup,Non-Veg,1328,1800
31.4,Avocado Toast,Cereal,Grilled Chicken Salad,Veggie Wrap,Grilled Salmon,Chicken Stir Fry,Non-Veg,1804,1900
31.7,Scrambled Eggs,Smoothie,Pasta Salad,Turkey Sandwich,Chicken Curry,Stuffed Peppers,Non-Veg,1667,1950
15.1,Oatmeal,Cereal,Chicken Wrap,Burrito Bowl,Veggie Pizza,Grilled Salmon,Non-Veg,2163,2600
17.2,Avocado Toast,Smoothie,Vegetable Stir Fry,Turkey Sandwich,Lentil Soup,Chicken Curry,Non-Veg,1269,2450
27.6,Granola,Yogurt,Soup,Sushi,Tacos,Chicken Stir Fry,Non-Veg,1739,2000
31.5,Avocado Toast,Oatmeal,Sushi,Grilled Chicken Salad,Grilled Salmon,Tacos,Non-Veg,1998,2300
25.3,Avocado Toast,Pancakes,Grilled Chicken Salad,Sushi,Spaghetti,Grilled Steak,Non-Veg,1245,1900
18.0,Avocado Toast,Yogurt,Chicken Wrap,Sushi,Lentil Soup,Stuffed Peppers,Non-Veg,1510,2300
16.3,Cereal,Granola,Veggie Wrap,Sushi,Spaghetti,Veggie Burger,Non-Veg,1426,2600
34.1,Cereal,Oatmeal,Grilled Chicken Salad,Burrito Bowl,Lentil Soup,Veggie Burger,Non-Veg,1417,1650
16.1,Granola,Fruit Salad,Burrito Bowl,Grilled Chicken Salad,Chicken Curry,Spaghetti,Non-Veg,1951,2800
15.8,Avocado Toast,Egg Sandwich,Burrito Bowl,Sushi,Tacos,Grilled Salmon,Non-Veg,1342,2700
29.0,Smoothie,Granola,Sushi,Turkey Sandwich,Veggie Burger,Chicken Stir Fry,Non-Veg,1612,1750
17.3,Pancakes,Scrambled Eggs,Grilled Chicken Salad,Veggie Wrap,Tacos,Grilled Steak,Non-Veg,1456,2600
22.4,Scrambled Eggs,Pancakes,Turkey Sandwich,Sushi,Grilled Salmon,Tacos,Non-Veg,1553,2000
32.5,Cereal,Granola,Sushi,Soup,Spaghetti,Stuffed Peppers,Veg,1893,1950
32.2,Cereal,Egg Sandwich,Grilled Chicken Salad,Burrito Bowl,Grilled Steak,Lentil Soup,Non-Veg,1824,1850
18.8,Fruit Salad,Egg Sandwich,Pasta Salad,Sushi,Lentil Soup,Veggie Burger,Non-Veg,1722,1800
30.9,Avocado Toast,Granola,Soup,Vegetable Stir Fry,Veggie Pizza,Spaghetti,Veg,1764,1900
33.0,Granola,Yogurt,Turkey Sandwich,Quinoa Salad,Lentil Soup,Spaghetti,Veg,1485,1550
26.9,Pancakes,Egg Sandwich,Sushi,Burrito Bowl,Tacos,Veggie Pizza,Non-Veg,1722,1950
34.1,Pancakes,Egg Sandwich,Turkey Sandwich,Burrito Bowl,Chicken Curry,Tacos,Non-Veg,1926,2200
18.5,Pancakes,Fruit Salad,Turkey Sandwich,Grilled Chicken Salad,Veggie Burger,Chicken Stir Fry,Non-Veg,1591,2350
21.6,Fruit Salad,Smoothie,Grilled Chicken Salad,Turkey Sandwich,Grilled Salmon,Stuffed Peppers,Non-Veg,1591,1800
29.6,Egg Sandwich,Granola,Sushi,Quinoa Salad,Tacos,Stuffed Peppers,Non-Veg,1518,1850
33.1,Yogurt,Avocado Toast,Vegetable Stir Fry,Turkey Sandwich,Tacos,Lentil Soup,Veg,1494,1750
33.9,Oatmeal,Yogurt,Pasta Salad,Sushi,Spaghetti,Chicken Stir Fry,Non-Veg,1922,2150
16.7,Smoothie,Cereal,Veggie Wrap,Burrito Bowl,Chicken Stir Fry,Veggie Pizza,Non-Veg,1782,2500
33.5,Scrambled Eggs,Avocado Toast,Chicken Wrap,Vegetable Stir Fry,Grilled Steak,Chicken Curry,Non-Veg,1664,1700
24.0,Scrambled Eggs,Cereal,Grilled Chicken Salad,Turkey Sandwich,Chicken Curry,Veggie Burger,Non-Veg,1855,2050
17.3,Cereal,Oatmeal,Burrito Bowl,Quinoa Salad,Veggie Burger,Chicken Stir Fry,Non-Veg,1554,2450
